id,uid,pid,suggestion_id,starttime,endtime,status
7177,8114,1488,1,2016-06-07 13:00:00,2016-06-07 14:00:00,2
7178,8223,1400,5,2016-06-07 12:00:00,2016-06-07 13:00:00,2
7180,2807,1482,1,2016-06-08 08:27:00,2016-06-08 10:27:00,2
7181,9446,1180,1,2016-06-08 08:30:00,2016-06-08 09:20:00,2
7185,5778,1459,1,2016-05-30 14:00:00,2016-05-30 15:00:00,2
7186,5778,1459,1,2016-06-06 14:00:00,2016-06-06 15:00:00,2
7193,5173,1548,5,2016-06-03 15:00:00,2016-06-03 16:00:00,2
7198,4504,1485,1,2016-06-08 10:30:00,2016-06-08 11:30:00,2
7203,4616,1436,1,2016-06-08 15:00:00,2016-06-08 16:10:00,2
7212,9878,1551,1,2016-05-28 16:00:00,2016-05-28 17:00:00,2
7216,6928,1247,1,2016-06-04 14:00:00,2016-06-04 14:50:00,2
7218,9878,1551,1,2016-06-04 16:00:00,2016-06-04 17:00:00,2
7219,6809,1417,1,2016-06-10 08:30:00,2016-06-10 09:20:00,2
7221,7190,1439,1,2016-06-10 09:20:00,2016-06-10 09:55:00,2
7224,7055,1553,1,2016-06-10 09:30:00,2016-06-10 10:30:00,2
7226,8416,1520,1,2016-06-10 09:00:00,2016-06-10 09:50:00,2
7228,8342,1554,1,2016-06-10 11:00:00,2016-06-10 11:50:00,2
7230,3268,1304,1,2016-06-10 16:00:00,2016-06-10 16:55:00,2
7234,8107,1491,1,2016-06-10 15:00:00,2016-06-10 15:50:00,2
7236,7025,1557,1,2016-06-04 15:42:00,2016-06-04 16:42:00,2
7237,7025,1557,1,2016-06-11 15:43:00,2016-06-11 16:43:00,2
7257,8904,1293,1,2016-06-10 11:00:00,2016-06-10 11:50:00,2
7264,18,1534,1,2016-06-13 09:30:00,2016-06-13 10:20:00,2
7270,8504,1370,1,2016-06-13 14:30:00,2016-06-13 15:30:00,2
7278,212,1561,5,2016-06-06 09:05:00,2016-06-06 09:55:00,2
7284,5342,1368,1,2016-06-14 08:30:00,2016-06-14 09:20:00,2
7285,4600,1115,1,2016-06-14 10:30:00,2016-06-14 11:20:00,2
7287,7569,1503,1,2016-06-14 10:40:00,2016-06-14 11:40:00,2
7291,5689,1406,1,2016-06-10 17:00:00,2016-06-10 18:00:00,2
7292,6756,1464,1,2016-06-10 16:00:00,2016-06-10 17:00:00,2
7295,3308,1544,1,2016-06-14 16:00:00,2016-06-14 16:55:00,2
7297,7030,1432,1,2016-06-07 18:00:00,2016-06-07 18:50:00,2
7298,7030,1432,1,2016-06-14 18:00:00,2016-06-14 19:00:00,2
7308,1752,1430,5,2016-06-14 17:00:00,2016-06-14 17:55:00,2
7311,6270,1507,1,2016-06-14 18:00:00,2016-06-14 19:00:00,2
7316,2807,1482,1,2016-06-15 08:31:00,2016-06-15 09:31:00,2
7319,5338,865,1,2016-06-02 16:00:00,2016-06-02 16:50:00,2
7324,5778,1459,1,2016-06-13 14:00:00,2016-06-13 15:00:00,2
7327,9446,1180,1,2016-06-15 08:30:00,2016-06-15 09:20:00,2
7340,4616,1436,5,2016-06-15 15:05:00,2016-06-15 15:55:00,2
7343,2970,1428,5,2016-06-14 20:00:00,2016-06-14 21:00:00,2
7347,4807,994,1,2016-06-07 19:00:00,2016-06-07 20:00:00,2
7348,4807,994,1,2016-06-14 19:00:00,2016-06-14 20:00:00,2
7349,7749,588,1,2016-06-16 20:00:00,2016-06-16 21:00:00,2
7360,9615,1516,1,2016-06-16 14:00:00,2016-06-16 14:00:00,2
7362,8114,1488,1,2016-06-16 14:00:00,2016-06-16 15:00:00,2
7366,9615,1516,1,2016-06-16 16:00:00,2016-06-16 16:55:00,2
7370,6809,1417,5,2016-06-17 08:30:00,2016-06-17 09:20:00,2
